city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Port Lavaca TX,80.8,14.1,0.4,0.9,3.1,0.6,19.1
San Perlita TX,97.1,0,0,0,2.9,0,31.5
Bryson TX,82,7.5,0,0.6,6.8,3.1,28.6
Jacksboro TX,89.3,8.7,0,1.5,0,0.5,17.2
Reno TX,89.2,7.2,0,0,0.5,3,19.9
Ralls TX,82.4,9.8,0,2.3,1,4.6,18.3
Alvord TX,86,8.5,0,0.5,4,1,25.9
Rhome TX,78.7,11.8,1.6,2.7,5.2,0,36.2
Cedar Hill TX,86.8,6.6,0.6,1,3.7,1.3,30.3
Garland TX,79,12.5,2.7,0.8,3.7,1.3,28.6
Grapevine TX,82.8,9.5,0.2,1.2,5,1.3,23.6
Richardson TX,79.2,7.5,2.6,2.2,7.6,0.9,24.8
Raymondville TX,85.3,5.6,0,3.6,4.4,1.1,19.6
Chester TX,87.4,7.4,0,1.1,0,4.2,24.4
Colmesneil TX,80,7.3,0,7.9,3,1.8,29.9
Floresville TX,81.9,11.3,0,1.9,4.5,0.4,25.4
Poth TX,74.3,10.2,0,2.9,12.6,0,23.8
Wixon Valley TX,81,8.6,0,1,9.5,0,30.3
Garrett TX,77.2,18.8,0,0,4.1,0,30
Walnut Springs TX,77.3,18.3,0,2.1,0.6,1.8,23.4
Tehuacana TX,79.1,12.7,0,0,8.2,0,23.3
Newcastle TX,79,16,0,0.8,4.2,0,14.9
Harlingen TX,84.4,8.9,0.3,2.2,2.9,1.3,16.8
Los Fresnos TX,85.6,7.4,0,5.3,0.6,1,23.9
Coleman TX,89.3,8,0.1,0.1,1,1.6,16.6
Eden TX,95.7,1,0,0,3.3,0,12.3
Premont TX,68.9,21.3,0,6.8,3,0,24.8
Wortham TX,74.9,14.3,0,6.3,4.4,0,33.4
Lakeview TX,68.4,10.5,0,0,21.1,0,17.3
Magnolia TX,67.8,25.8,0,2.2,3.4,0.8,29.1
Montgomery TX,72.6,14.7,0.5,2,6.7,3.5,35.1
Martindale TX,85.6,9.4,0,0,4.5,0.5,28.2
Hardin TX,98.1,0.9,0,0,0.9,0,26.5
Pottsboro TX,74,15.1,0.7,0.7,8,1.6,23
Fairview TX,76.6,8.9,2.8,1,10.7,0,34.5
Frisco TX,79.4,6.9,0.4,0.6,11.5,1.3,30.1
Holland TX,84.4,6.9,0,0,5.8,2.9,25.4
Hart TX,82.1,6,0,5.8,5.8,0.4,20.5
Bridge City TX,92.3,5.3,0,0.2,2.2,0,24.1
Thorntonville TX,70.6,15.7,0,4.7,9,0,18.2
Alma TX,77.6,9.3,0,0,10.6,2.5,30.4
Waxahachie TX,82.6,10.6,0.8,2.1,3.5,0.5,23.6
Pine Forest TX,90.6,8.1,1,0,0,0.3,28.6
Marfa TX,50.7,12.8,0,31.1,2.4,3,13.1
Wichita Falls TX,75.8,8.1,0.9,9.3,3.9,2.1,14.6
Wink TX,87.5,5.8,0,0.8,1.7,4.2,21.7
Ladonia TX,82.9,8.9,0,1.9,6.2,0,36.6
Moody TX,87.8,10.4,0,0,1.8,0,23.2
Kenedy TX,83.9,15.8,0,0.2,0.1,0,16.5
Woodcreek TX,70.3,9.2,0.4,5,12.3,2.8,30.7
Crockett TX,81.6,11.4,0,1.4,2.4,3.2,20
Mount Vernon TX,82.1,14.1,0,0,1.5,2.2,25
Abilene TX,80.6,10.8,0.7,2.3,4.6,0.9,15.7
Lueders TX,63.6,31.2,0,1.3,3.9,0,21
Driscoll TX,73.2,18.3,0,8.5,0,0,19.1
Rocksprings TX,72.7,18.9,0,2.7,3.4,2.2,15.8
San Diego TX,70.9,18.3,0,4,6.8,0,20.1
Beckville TX,91.4,4.4,0,0,4.1,0,22.1
Gary City TX,78.4,15.8,0,0,5.8,0,40.2
Sabinal TX,78,21.2,0,0,0.8,0,31.5
Beeville TX,79.1,13.7,0,4.2,1.1,1.9,16.2
Fulton TX,73.3,21.3,0,0,5,0.5,19.3
Marshall TX,86.3,7.6,0.1,1.1,3,2,16.5
Uncertain TX,92.9,0,0,0,0,7.1,33.6
Navasota TX,82.2,16.8,0,0,0.9,0,17.2
Cottonwood TX,88.7,7.2,0,0,4.1,0,51
Oak Grove TX,90.7,6.3,0,0,3,0,32.6
Port Neches TX,92.2,5,0,0.4,2.2,0.3,16.6
Onalaska TX,74.8,10,0,5.5,8.5,1.1,23.7
Hudson Oaks TX,89.2,4.1,0,0.4,5.4,0.9,30.1
Forest Hill TX,82.1,14,0,0.1,2.7,1.1,24.9
Hurst TX,79.3,11.1,1.2,2.4,4.8,1.2,25.1
Kennedale TX,84.3,9.8,0,0,4.9,1,26.7
Millsap TX,78.4,12.2,0,4.7,2,2.7,27.1
Riverside TX,87.2,3.7,0,6.1,3,0,32.4
El Cenizo TX,69.5,10,7.2,11.4,0.9,1,41.6
Rio Bravo TX,82.4,8.1,1.7,1.9,5.8,0,33.2
Hudson TX,81,17.6,0,0.5,0,1,18.4
Clyde TX,83.8,10.2,0,0,5.2,0.8,21.4
Flatonia TX,93,4.1,0,2.9,0,0,15.2
Double Oak TX,78,6.5,0.3,1.9,11.6,1.7,30.6
Lakewood Village TX,95.2,2.7,0,1,1,0,34.1
Broaddus TX,72.2,4.6,0,9.3,12,1.9,37
Sonora TX,84.3,11.1,0,1.7,2.6,0.4,15.6
La Joya TX,87.4,6.3,0,0,6.3,0,23.2
La Villa TX,74.4,2.4,0,0.6,9,13.6,28.6
Mercedes TX,81.7,7.3,0,1.1,4.1,5.8,21.5
Abbott TX,87.5,4.2,0,0,7.7,0.6,27.7
Arcola TX,77,21.1,0,0.4,1,0.5,29.7
Sugar Land TX,80.1,9.8,2.5,0.5,6.2,1,30.5
Thompsons TX,86.1,9.7,0,0,0,4.2,28.8
Anahuac TX,84.4,13,0,1.4,1.2,0,26
Rose Hill Acres TX,91.7,4.7,0,0,1,2.6,25.9
Smyer TX,84.7,14.1,0,0.6,0.6,0,21.9
Mineola TX,76.2,14.4,0,1.8,6.8,0.8,26.2
Campbell TX,90.9,7.2,0,0,1.9,0,25.1
Greenville TX,81.7,12.5,0,1.1,3.6,1.1,22.8
Quinlan TX,83.8,12,0,1,2.9,0.4,34.3
Wolfe City TX,88.6,11.4,0,0,0,0,38.2
Marion TX,87.5,7.5,0,0.8,4.3,0,33.3
Santa Clara TX,88.6,3.1,0.8,1.6,6,0,26.4
Edcouch TX,87.7,2,0,2.1,4.2,4,20.6
Granjeno TX,89.8,3,0,0,4.2,3,22.1
Lufkin TX,81,14.3,0.4,2,1.7,0.5,14.8
El Campo TX,78.9,17,0.2,0.4,3.3,0.1,16.7
Blanket TX,93.7,3.8,0,1.3,0,1.3,18.3
Brownwood TX,90,6.9,0.3,1,1.2,0.6,13.2
Port Arthur TX,88.4,8,0.9,0.6,0.9,1.3,22.7
Springtown TX,75.4,17.3,0,2.6,4.7,0,29.9
Columbus TX,80.2,10.5,1.4,2.8,4.3,0.8,14.5
Beverly Hills TX,83,12.5,0.3,0.3,3.3,0.5,13.6
Riesel TX,80.1,16.7,0.5,0,1.9,0.7,23
Dean TX,88.6,5.9,0,2.7,1.8,0.9,18.8
Petrolia TX,92.8,3,0,0,4.2,0,20.7
Goliad TX,78.3,7.4,0,12.3,2,0,23.8
Clear Lake Shores TX,84.7,5.4,0.5,2.2,6.5,0.5,25.6
Plains TX,71.6,22.8,0,4.6,0.5,0.5,19
Trent TX,81.9,13.1,0,1.3,1.3,2.5,21.2
Itasca TX,82.4,16.9,0,0,0.7,0,22.7
New Braunfels TX,81.8,9.9,0.1,0.9,5.8,1.4,24.3
Schertz TX,86,7.1,0.5,0.4,4.8,1.3,28.1
Hillsboro TX,75.9,16.2,0.1,2.5,3.1,2.2,18.8
Calvert TX,75.8,12.7,0,4.4,1.3,5.9,21.8
Van Horn TX,79.5,12.9,0,0.7,2.6,4.3,12.4
Sun Valley TX,31.4,34.3,0,0,20,14.3,0
Crosbyton TX,88.6,6.7,0,2.5,0.4,1.8,24.1
Carrollton TX,82,9.4,1.6,1.3,5.1,0.6,25.2
Caddo Mills TX,86.5,8.7,0,1.1,2.5,1.3,30.1
Bridgeport TX,77.6,11.8,0,6.2,3.8,0.6,19.7
Chico TX,77.2,16.6,0,5,1.1,0,22.3
Coppell TX,82.8,5.1,0.9,0.6,9.4,1.2,25.4
Dallas TX,76.2,11.3,4.2,1.9,4.6,1.8,26.8
Devine TX,82.1,15.2,0,0,2.6,0,26.9
Natalia TX,87.9,9.5,0,0,2.6,0,23.8
Dalhart TX,86.6,10.9,0,1,1.2,0.4,12.6
San Leanna TX,89,1.4,0,0,8.2,1.4,28.3
Jonestown TX,72.1,9,0.7,1.2,15,2,31.6
Manor TX,79.8,14.3,1,0,4.8,0.1,31.7
Round Rock TX,81.6,8.5,0.9,1,6.9,1.2,25.2
The Hills TX,72.5,6.3,0,0.6,19,1.5,32.9
Big Wells TX,89.6,2.6,0,0,0,7.8,29.2
Sanger TX,83.7,11,0.4,0.5,4.4,0,28.8
Avinger TX,82.1,6.4,0,0,1.4,10,20.2
Linden TX,88.4,3.3,0,4.4,1.7,2.2,20.1
Lefors TX,85.7,6.1,0,7.1,1,0,34.9
Meridian TX,79.2,13.1,0,2.9,3.4,1.3,24.5
Marlin TX,71.7,16.7,0,3,4.4,4.3,24.1
Graham TX,83.7,10.5,0,0.5,5,0.3,12.4
Pharr TX,84.8,6,0.1,0.9,3.6,4.6,20.3
McAllen TX,76.7,11.6,0.7,1,4.3,5.6,19.9
Weston Lakes TX,71.9,9.1,1.3,2.8,14.9,0,39.7
Spring Valley Village TX,87.5,2.9,0.9,1.2,5.3,2.2,21.8
Iola TX,83.6,6.8,0,6.2,3.4,0,29.5
Von Ormy TX,72.5,24.1,0,2,1.3,0,28.7
Canadian TX,74,15.4,0,6.2,4.4,0,15.5
Seven Points TX,76.4,15.8,0,1.7,6.2,0,35.2
Carmine TX,91.4,5.7,0,0,2.9,0,42.2
Buckholts TX,93.3,6.7,0,0,0,0,24.5
Hewitt TX,85.9,7.6,0,0.2,5.6,0.6,16
Robinson TX,86.6,8.7,0,0,4.4,0.3,18.2
Lipan TX,82.5,15.8,0,1.8,0,0,33.2
Tolar TX,98,0.8,0,0.4,0.8,0,25.3
Latexo TX,89.6,8.1,0,0.7,0.7,0.7,22.1
Big Spring TX,78.8,17,0.6,1,1.2,1.5,18.1
Cumby TX,80.7,11.1,0.7,0.7,6.9,0,25.3
Sulphur Springs TX,84.9,11,0.3,0.1,2.4,1.3,17.9
Agua Dulce TX,93,1.3,0,2.7,1.6,1.3,30
Bishop TX,85.6,12.6,0,0.3,0.9,0.6,22.5
Balch Springs TX,69.4,18.4,0.2,0.3,3.4,8.4,32
Cockrell Hill TX,80.3,3.1,2.8,1.6,2.1,10.1,26.4
Combine TX,79,12.3,0.1,0.3,3.6,4.6,39.1
Rowlett TX,81,9.3,1.6,0.3,5.9,1.9,31.7
LaCoste TX,91.9,4.4,0,1.3,1.8,0.6,23.7
Friona TX,74.2,16.4,1.3,1.8,2.6,3.7,12.6
Texline TX,73.1,13.4,6.3,5,0.4,1.7,14.6
Borger TX,83.9,13.2,0,0.7,1.5,0.8,15.3
Lorenzo TX,84.6,8.5,0,2,0.6,4.3,23.7
Round Mountain TX,96.8,1.6,0,1.6,0,0,20.2
Boyd TX,76.8,17,0.5,0.5,4.3,0.8,34.9
Addison TX,83.8,4.3,1.9,3,5.7,1.3,22.8
Hutchins TX,84.1,9.8,0,0,4.3,1.8,29.2
Irving TX,79.1,11.5,1.8,1.4,3.7,2.6,24.2
Lancaster TX,84.2,10.1,1.1,0.6,2.3,1.7,30.6
Seagoville TX,85.7,9,0,0.2,1.8,3.4,36.6
Menard TX,70.6,28.8,0,0,0.6,0,30.6
Point Comfort TX,83.5,2.7,2.7,5.3,0.7,5.1,17.1
Lyford TX,94.1,5.9,0,0,0,0,23.7
Missouri City TX,85,8.4,1.3,0.3,4,1,30.4
Nassau Bay TX,81.2,11.1,0,3.6,3.1,1,27
Piney Point Village TX,88.5,4.7,0,1.1,5.7,0,21
Shoreacres TX,73.9,17.9,0,0.9,5.4,2,33.5
Llano TX,77.2,17.3,0,3.3,2.3,0,19.5
Estelline TX,87.9,6.1,0,0,6.1,0,11
Patton Village TX,85.1,10.7,0,0,3.7,0.5,39.2
Malone TX,83.8,8.1,0,2.9,2.2,2.9,32.8
Penelope TX,98.2,0,0,1.8,0,0,38.9
Goldthwaite TX,76.3,8.8,0,10.9,2.9,1,12.4
McCamey TX,86.1,10.9,0,0,1.7,1.3,19.4
Plainview TX,80.1,15.2,0.5,1.7,2.1,0.4,16.1
Quanah TX,82.9,14.2,0,1,0,1.9,15.2
Everman TX,92.5,6.5,0,0,0.3,0.6,25.9
Nordheim TX,76.9,17.3,0,5.8,0,0,42
Colleyville TX,82.6,3.2,0.1,1.1,10.8,2.2,28.3
Haslet TX,82.6,10.1,0,0.7,5.7,0.8,33.9
Watauga TX,85.7,9.2,0.8,0.3,3.3,0.7,27.8
Moulton TX,75.4,15.3,0,5.5,1.8,2,20.4
Conroe TX,81,11.8,0.9,0.9,3.4,1.9,28.4
Panorama Village TX,88.3,5,1.8,0,4.9,0,29.1
Splendora TX,85.3,9.8,0,2,0.7,2.2,33.5
Christine TX,84.3,6,0,4.5,2.2,3,31.5
Bloomburg TX,79.3,10.3,0,0,0,10.3,25.2
Domino TX,86.4,0,0,13.6,0,0,0
McLean TX,79.2,13.4,0,0,4.1,3.3,24.3
Panhandle TX,82.7,12.7,0,0,4.6,0,19.9
Thorndale TX,77.2,12.7,0,1.2,8.9,0,33.9
Schulenburg TX,89.4,8.3,0,1.2,0.7,0.4,17.5
Rockdale TX,83.5,12.2,0.9,0.6,2.9,0,19.7
Bellmead TX,70.2,19.8,1.7,3.2,3.4,1.6,18.1
Crawford TX,87.2,9.4,0,0,3.4,0,28.8
Lacy-Lakeview TX,87,7.7,1.5,0.3,1.9,1.6,16.7
Lorena TX,88.1,8.2,0,0.5,1.7,1.4,24.5
McGregor TX,80.2,15.4,0,0.6,3,0.8,21.8
Runge TX,77.7,15.5,1.5,2.9,1.7,0.7,20.4
Mountain City TX,84.5,7.1,0,0,7.9,0.5,31.2
Granbury TX,88.7,5.9,0.5,1.5,3.2,0.3,28.4
Hooks TX,87.9,6.1,0.9,0.7,2.3,2.1,15.2
San Patricio TX,78.7,8.9,0,0,9.4,3,34.6
Bullard TX,84.4,7.2,0,0.6,6.7,1,30.6
Baytown TX,83.4,11.5,1,1.1,2.3,0.6,24.8
Bellaire TX,83.1,4.4,1.4,0.6,8.2,2.3,24.3
Hedwig Village TX,85.5,4.6,1.2,4.4,3.8,0.5,20.7
Lake Tanglewood TX,79.7,5.9,0,0.5,13.5,0.5,25.1
Point Blank TX,84.2,1.9,0,0,8.5,5.4,44.6
La Grulla TX,89.3,1,0,2.7,7.1,0,21.1
Leary TX,84.6,0,0,2.9,12.5,0,17.5
Redwater TX,92.9,1.8,0,0,5.3,0,20.2
Pasadena TX,80.3,14.1,0.4,1.5,2.6,1,26.1
Pearland TX,89.2,7,0.3,0.5,2.2,0.9,33.1
South Houston TX,71.3,20.8,1.4,1.8,1.8,2.9,29.9
Stafford TX,84,10.1,0.9,1.3,3,0.7,24.3
Goree TX,81.7,15.6,0,0,2.8,0,19.2
Oakwood TX,79.1,12.9,0,4.3,1.8,1.8,27.7
Pantego TX,89.8,2.3,0.7,0,6.8,0.5,28.1
Pelican Bay TX,87.6,9.9,0,0,0.4,2.1,35.5
White Settlement TX,86,10.1,0.7,0.8,1.7,0.7,26.5
Ector TX,84.7,9.2,0,0,2.1,4,24.6
Leonard TX,72,22.3,0,0.5,4.7,0.5,27.3
Moore Station TX,95.1,4.9,0,0,0,0,40.9
Tool TX,82.5,9,0,0,8.5,0,37.6
Cuero TX,89.9,3.7,0,3,2.2,1.2,16.7
Yorktown TX,87.5,7.2,0.5,0,2.6,2.3,26.5
Anthony TX,79.1,9.1,0.3,1.4,2.5,7.7,25
Clint TX,78.7,5.6,1.7,3.4,5.3,5.3,30.4
Vinton TX,84.6,3.1,0,0,4.2,8,20.8
Blue Mound TX,87.2,11.5,0,0.3,0.5,0.6,23.4
Flower Mound TX,82.9,4.7,0.4,0.5,10.1,1.2,29.2
Lakeside TX,87.4,3.8,0,0.9,6.6,1.3,32
Newark TX,80.8,14.8,0,0,3.2,1.2,38.3
North Richland Hills TX,83.9,9.2,0.2,0.8,4.5,1.3,26.7
Kendleton TX,80.8,19.2,0,0,0,0,29.8
Newton TX,82,8.9,1.7,1.9,3.9,1.6,28.7
Anton TX,72.8,21.9,0,0,5.3,0,27.9
Normangee TX,90.2,4.5,0,2.7,0,2.7,32.7
Blanco TX,85.5,6,0,4,3.4,1.2,27.4
Johnson City TX,81.3,9.8,0,1.8,4.1,3.1,24.1
Woodbranch TX,90.7,4,1.1,0,1.1,3,34.9
Atlanta TX,93,1.2,0,0,3,2.8,21.9
Texarkana TX,88,5.5,0.7,1.2,2.4,2.3,14.9
Deer Park TX,85.1,9.7,0.4,1.5,2.5,0.8,23.8
Jacinto City TX,77,15.1,2.3,2.2,3.3,0,27.2
Morgan's Point TX,72.8,3.3,0,0,23.8,0,24.4
Seabrook TX,82.1,11,0.3,0.8,4.3,1.4,28.3
Kurten TX,86.7,9.1,0.6,0,3.6,0,28.5
Jarrell TX,83.9,5.9,0,0,7.9,2.3,24.5
Salado TX,84,5.4,0,1,9.7,0,24.9
Wimberley TX,82.5,6.8,0,2.3,7.7,0.8,32.2
Hideaway TX,79,8.3,0,4.2,8.6,0,24.6
Cashion Community TX,78.6,13.6,0,5.8,1.9,0,16
Brazos Country TX,88.1,5.4,2.7,0.3,2.4,1,38.8
Rollingwood TX,74.6,3,0,1,21.4,0,18.5
Miller's Cove TX,100,0,0,0,0,0,20.3
Olton TX,83.2,8.7,1,1.7,0.7,4.8,17.2
Springlake TX,76.1,13,0,2.2,8.7,0,24.6
Groesbeck TX,81.1,10.8,0,3,4.3,0.8,18.3
Thornton TX,82,13.9,1.2,2.9,0,0,17.3
Higgins TX,80.6,9.7,0,2.4,7.3,0,28.4
Dimmitt TX,87.1,7.3,0,2.4,2.1,1.1,13.5
Ennis TX,80.6,15.1,0,0.8,3,0.5,23.9
Garrison TX,85.4,11.9,0,0,0.9,1.8,27.5
Tyler TX,82.6,9.8,0.4,1.3,3.2,2.7,20.1
Cedar Park TX,80.5,8.3,0.7,0.7,8.7,1.1,27.4
Sunset Valley TX,68.5,14.3,0,0,15.5,1.7,22.4
Falfurrias TX,84.5,8.8,0.1,4.1,2.5,0.1,15
Iredell TX,73.9,10.1,0,7.6,8.4,0,43.6
Sudan TX,78.8,12.5,0,1,6,1.8,16
Darrouzett TX,86,10.9,0,1,0,2.1,19.7
Manvel TX,82.7,14.7,0,0.5,1.4,0.6,31.7
Sealy TX,82.7,10.9,0,2.2,2.9,1.3,26.7
Danbury TX,91.1,7,0,0,1.9,0,27.9
Lake Jackson TX,83.4,12,0,0.3,3.2,1,20.4
Richwood TX,86.7,11.6,0,0.6,1.1,0,18.3
Elsa TX,84.3,4.4,0,0,5.5,5.8,22.1
Junction TX,70.3,22,0,5.1,0.5,2,14.1
Kingsville TX,77.5,12.6,0,7.1,0.6,2.2,16.5
College Station TX,77.7,9,3.4,3.2,3.2,3.4,15.7
Alton TX,74,15.6,0,1.5,2.9,6,22.1
Hidalgo TX,82.7,4.9,0.6,2.4,2.7,6.8,20.1
Mission TX,84.1,8.6,0.2,0.4,5,1.7,20.8
Palmhurst TX,85,8.9,0,0,5.6,0.5,18.6
Sullivan City TX,85.4,6.6,0,1.2,5.4,1.4,21.4
Bertram TX,80.5,14.7,0,1,2.1,1.8,33.4
Highland Haven TX,98.4,0,0,0,1.6,0,16.7
Gregory TX,89.6,7.3,0.4,0,1.9,0.8,18.5
Mathis TX,84,11.8,0,2.7,0.4,1.1,23.9
Wills Point TX,78.3,9.6,0,0,7.2,4.9,25.7
Winona TX,89,10.3,0,0.7,0,0,26.5
Austin TX,73.8,9.5,3.9,2.3,7.9,2.6,24.1
Carl's Corner TX,65.7,34.3,0,0,0,0,46
Pleak TX,79.2,6.5,0,0.4,10.7,3.2,35.1
Beach City TX,93,3.3,0,0.6,2,1,29.3
Oak Ridge North TX,84.1,4.4,1.5,0.7,7.9,1.4,29.1
Stagecoach TX,87.3,5.1,0.6,0.6,6.5,0,35
Lytle TX,74.3,17,0,3.8,4.8,0,28
Marietta TX,81,11.9,0,7.1,0,0,26
Hillcrest TX,97.4,2.6,0,0,0,0,30.1
San Juan TX,83.1,7.8,0.1,1.1,5.2,2.7,19
Weslaco TX,80.7,9,0.2,1.8,5.2,3.1,22.2
Burnet TX,81.8,12.5,0,0.8,4.8,0,22
Oglesby TX,77.6,13.2,2.8,0,4.8,1.6,30.6
Cresson TX,92.2,3,0,0.5,3.8,0.5,33
deCordova TX,81.4,9.4,0,0,7,2.2,28.4
Gun Barrel City TX,83.9,6.7,0,1.7,6.7,1,35
Wellman TX,72.4,22.4,0,1.7,3.4,0,16.2
Lometa TX,58.2,32.3,0,3,5.3,1.1,17.9
Cottonwood Shores TX,66.7,26.2,0,0,6.2,0.9,23.7
Meadowlakes TX,89,8,0,0,2.2,0.7,19.1
Brownsboro TX,80.6,10.3,0,5.1,0.6,3.4,33.2
Malakoff TX,83.8,10,0,4.6,1.6,0,21.7
Star Harbor TX,85.1,6.7,0,1.5,6.7,0,33.1
Yoakum TX,78.5,17.8,0,1.3,1.7,0.8,19.2
Texas City TX,79.4,13.5,0.4,2.1,2.2,2.4,24
Decatur TX,86.4,10,0,0,3.5,0,21.7
Wallis TX,85.9,12.9,0,1.3,0,0,32.9
Alvin TX,81.8,12.7,0.1,1.4,2.8,1.2,31.8
Brownfield TX,77.4,16.4,0.4,0.8,2.6,2.4,18.9
Beasley TX,94.8,4.2,0,0,1,0,25.6
Kountze TX,75.3,20.7,0,2.8,0.4,0.9,28.7
Eustace TX,78.6,11.7,2.3,3.1,2.9,1.3,29.5
Murchison TX,81.1,9.7,0,1.8,7.4,0,26.7
Webberville TX,74.9,7.4,0,3.3,14.4,0,31.5
East Bernard TX,84.3,7.8,0,1.5,6.4,0,25.7
Meadows Place TX,86.4,4.3,3.2,0,4.8,1.2,27.5
Combes TX,86.7,5.6,0,2.3,2.8,2.8,20.6
Laguna Vista TX,86.3,9.6,0.5,0,1.8,1.8,25.3
Cleveland TX,86.6,6.9,0,3.8,1.6,1.1,33.8
Bells TX,87.7,8.1,0,0,4.2,0,31.1
Collinsville TX,71.9,21.9,0,1.7,3.9,0.6,27
Denison TX,75.1,15,0.8,1.7,4.3,3.1,21.8
Howe TX,83.9,13.3,0,0.7,2.1,0,24
Tom Bean TX,78.8,13.5,0,0,7.6,0,26.7
Ransom Canyon TX,83.5,8.9,0.7,0,6.8,0,23.8
Wolfforth TX,86.6,10.5,0,0,2.9,0,19.4
Anna TX,87.9,3.9,0,0,7.7,0.4,32.2
Farmersville TX,95,4.1,0,0,0,0.9,35.8
Lowry Crossing TX,85.6,5.3,0,0,8.6,0.4,34
Retreat TX,87.3,7.5,0,0,5.2,0,20.3
Barry TX,81.4,12.7,0,4.2,1.7,0,20.9
Dawson TX,81,13.6,0,0.6,4.7,0,34.3
Goodlow TX,85.1,6.8,0,5.4,2.7,0,29.2
Miles TX,95.3,1.4,0,2.1,0.7,0.5,29
Winters TX,76.7,16.5,0,3.1,3.2,0.4,21.9
Tenaha TX,69.7,25.7,0,3.8,0,0.7,28.3
Timpson TX,84.7,2.9,0,10.3,2.1,0,21.7
Grandfalls TX,58.6,27.2,0,7.4,3.1,3.7,20
Wickett TX,93.1,2.8,0,0,4.2,0,21.9
Holliday TX,85.5,8.9,0,0.4,2.5,2.7,20.6
Pecan Gap TX,66.7,15.6,0,0,8.9,8.9,36.1
Lampasas TX,72.3,14.1,0.1,6.6,1.8,5.1,23.9
Stanton TX,86.3,6.6,0,2.8,2.9,1.4,16.4
Jolly TX,78.1,10.9,0,0,7.8,3.1,23.1
Weinert TX,69.6,25.6,0,0,3.2,1.6,15
Laredo TX,81.7,12,1,1.5,2.6,1.2,21.2
Richland Springs TX,92.7,7.3,0,0,0,0,17.2
Kress TX,77,15.8,1.8,2.4,0,3,20.4
Merkel TX,85.9,9,0,2.2,1.7,1.2,24.8
Denver City TX,83.8,13.8,0,1.4,1,0,18.8
Gonzales TX,76.8,18.3,1.8,0.2,1.3,1.6,15.3
Nixon TX,74.6,18.5,0,4.6,1.7,0.7,22.3
Smiley TX,75.3,19.5,1.9,2.8,0.5,0,34.8
Roaring Springs TX,68.9,13.2,0,15.1,2.8,0,19.4
Colorado City TX,74.9,22.5,0.4,1.3,0.8,0,19.2
Benbrook TX,85.9,7.5,0.5,0.7,4.5,0.9,24.1
Fort Worth TX,81.5,11.4,0.9,1.3,3.6,1.3,27
Hico TX,75.6,15,0,6.5,2.8,0,21
Forsan TX,72.1,16.3,0,4.7,4.7,2.3,25.9
Easton TX,86.9,13.1,0,0,0,0,31.1
Mansfield TX,87.3,7.3,0.2,0.6,4,0.7,29.9
Aransas Pass TX,85.4,6.2,0,1.1,6.7,0.6,25.1
New Summerfield TX,71,27.3,0,1.6,0,0,20.7
Streetman TX,84.1,13.1,0,1.9,0,0.9,40.2
Valentine TX,62.9,2.9,0,14.3,20,0,0
Roby TX,69.7,16.5,0,11,1.6,1.2,18.8
Lakeport TX,82.9,12.3,0,0,3.4,1.5,24.7
Crowell TX,83.2,8.7,0,4.5,3.6,0,18.4
Cuney TX,100,0,0,0,0,0,0
Terrell Hills TX,76.3,5.6,1.1,0,9.4,7.5,23.7
Live Oak TX,87,7.8,0.4,1.2,3.3,0.4,25.8
Canyon TX,80.7,9.9,0,5.4,1.9,2.1,21.5
Universal City TX,82.1,9.5,0.6,3.7,2.4,1.8,23
Morton TX,73.8,24,0.7,0.4,0.7,0.5,24.7
Novice TX,100,0,0,0,0,0,0
Shepherd TX,71.1,26.5,0,2.5,0,0,35.5
Arlington TX,82.3,10.5,0.3,1.6,4.4,0.9,27.2
Keller TX,83.4,5.5,0.2,0.9,9.2,0.9,30.3
River Oaks TX,81.5,12.5,0.8,0.5,2.3,2.5,22.4
Saginaw TX,85.2,8.6,0.5,0.5,2.4,2.9,26.9
Southlake TX,80.9,2.8,0.6,0.2,14.1,1.4,28.4
Kenefick TX,92.9,1.4,0,0,5.7,0,38.8
South Padre Island TX,96,1.2,0.7,0,2.2,0,15.8
Blue Ridge TX,90.3,9,0,0,0.5,0.2,32.6
McKinney TX,82,6.4,0.4,0.5,9,1.8,29.3
Mobeetie TX,87.1,0,0,12.9,0,0,19
Niederwald TX,92.9,3.3,0,0,3.3,0.5,37
Westworth Village TX,83.5,9.3,0,2.4,3.7,1.1,22.9
Aurora TX,86.6,2.2,0,1.4,8.7,1.1,35.5
Scurry TX,83.5,11.4,0.7,1.8,2.6,0,35.7
Quitaque TX,71.3,5.7,0,6.3,11.5,5.2,21.5
South Mountain TX,72.4,26.1,0,0,0.7,0.7,24.1
Garden Ridge TX,84.2,9.1,0,0,6.1,0.6,30.8
Mertens TX,88.1,11.9,0,0,0,0,44.2
Mount Calm TX,77.3,14.1,0,0,8.6,0,35.9
Whitney TX,85,6.2,0,2.9,4.2,1.7,26.2
Mason TX,70.4,19.4,0,2.9,4.2,3,19.4
Rankin TX,86.6,8.7,0,0.8,1.9,1.9,23.3
Lakeside City TX,87.6,9.6,0,0,2.6,0.2,20.7
Cooper TX,81.1,9.1,0,6.6,0.7,2.4,29.4
Alamo TX,82.1,6.3,0,1,5.7,4.8,21
Edinburg TX,77.8,10.6,0.6,2.6,3.9,4.5,21.2
Littlefield TX,82.7,8.6,0,2.9,2.6,3.2,16.6
Kosse TX,87.8,4.8,0,0,7.5,0,29.7
