city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Mooresville AL,81.6,10.5,0,0,7.9,0,27.9
Carbon Hill AL,74.3,12.7,0,9.5,0.6,2.8,26.5
Tuscaloosa AL,82.7,8.8,0.7,2.6,3.8,1.4,19.4
Oneonta AL,89.5,9.2,0,0,1.3,0,29.7
Susan Moore AL,92,6.2,0,0,0.9,0.9,29
Fulton AL,73.7,26.3,0,0,0,0,20.4
Gaylesville AL,85.5,5.8,0,0,8.7,0,23.8
Glenwood AL,95.8,0,0,0,4.2,0,44.4
Marion AL,73.9,8.8,0,5.5,0.5,11.4,18.2
Langston AL,91.2,8.8,0,0,0,0,37.8
Madison AL,91,3.8,0,0.5,3.4,1.3,19.4
Edwardsville AL,82.6,8.3,0,0,9.1,0,29.4
Lake View AL,89.5,9.2,0,0,1.3,0,29.5
Nectar AL,86.5,5.4,0,0.9,0.9,6.3,35.7
Snead AL,91.4,6.1,0,0,2.5,0,29.8
Vance AL,86.8,9.6,0,0,3.2,0.4,25.8
Pelham AL,85.8,9.3,0.1,0,4.7,0.1,27.3
Linden AL,90.7,4,0,1.5,3.3,0.5,35.5
Ethelsville AL,80,6.7,0,10,3.3,0,36.5
Pine Apple AL,94.4,0,0,0,5.6,0,29
Haleyville AL,85.5,10.9,0,0,3.6,0,19.6
County Line AL,94.1,4.5,0,0,0.9,0.5,35.8
Nauvoo AL,77.5,22.5,0,0,0,0,32.1
Northport AL,90,6.6,0,0.3,1.9,1.3,20.3
Hillsboro AL,88.7,7.4,0,3.9,0,0,26.9
Highland Lake AL,83.7,12.9,0,0,3.4,0,31.9
Elmore AL,90.4,3.1,4.1,0,0.5,1.9,25.5
Tallassee AL,85.4,10.7,0,3.9,0,0,21.6
Elkmont AL,92.5,3.7,0,2.1,1.6,0,24.9
Trussville AL,89.1,6.5,0.1,0.8,2.6,0.8,27.1
Elba AL,72.4,16.4,0,6.5,2.2,2.6,21.8
Columbia AL,86.5,4.1,1.8,4.7,1.2,1.8,22.5
Sipsey AL,92.9,7.1,0,0,0,0,46.6
Brighton AL,74.4,17.7,4.9,0,1.2,1.8,22.6
Mountain Brook AL,90.5,3.3,0,0.3,5.3,0.6,16.8
North Johns AL,87.8,12.2,0,0,0,0,30.5
Babbie AL,89.7,5.2,0,0.9,0.9,3.4,26.3
Shorter AL,84.5,8.5,0,0,0,7,22.8
Pine Hill AL,90.4,9.6,0,0,0,0,18.8
Tuskegee AL,72.2,9.6,1.2,12.4,3,1.7,18.6
Clayton AL,71.8,21.4,0,3.8,1.7,1.3,22
