city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Rusk TX,53.2,15.1,28,1.2,0.6,0,0,2
Troup TX,64.6,15.5,16.5,0,0,0,0,3.4
Horseshoe Bay TX,89.9,6.1,3.6,0,0,0,0,0.4
Bedias TX,60.2,24.4,11.9,0.9,0,0,0,2.6
Talty TX,76.7,9.9,10.7,0.4,0.2,0,0,2
Union Valley TX,95.1,4.4,0,0,0.5,0,0,0
Lindsay TX,91.4,3.6,0,0,2.8,0,2.1,0.2
Spearman TX,53.5,46.3,0.1,0,0,0,0,0
Crandall TX,88.5,9.6,0.5,0.3,0.3,0,0,0.8
Bevil Oaks TX,75.6,3.2,15.2,0.7,2.8,0,0,2.5
Booker TX,48.3,50,0.4,0,0.6,0.1,0.1,0.4
Aledo TX,80.9,12.2,0.3,0,0.9,0,0.8,4.9
Cool TX,86.8,13.2,0,0,0,0,0,0
Weatherford TX,79.8,13.8,2.9,0.6,0.8,0,0.1,1.9
La Grange TX,54.1,33.4,9,0,2.9,0,0,0.5
West TX,88.3,6.5,5,0,0.2,0,0,0
Todd Mission TX,100,0,0,0,0,0,0,0
Boerne TX,73.3,23.6,1.2,0,0.4,0.2,0,1.4
Bynum TX,78.8,14.6,4.2,0.8,1.5,0,0,0
Franklin TX,71.4,6.9,20.2,0,0,0.7,0,0.7
Windom TX,91.8,3.3,0,0,0,0,0,4.9
Coffee City TX,60,6.9,27.7,0,2.3,0,0,3.1
Trinidad TX,79.3,8.5,8.3,1.2,0,0,2.1,0.6
New Berlin TX,91.3,7.9,0,0,0,0,0,0.7
Paint Rock TX,73.1,26.9,0,0,0,0,0,0
Clarendon TX,77.5,10.9,6.4,0.2,0.8,0,0,4.3
Putnam TX,100,0,0,0,0,0,0,0
Ingram TX,62.5,33.2,0.9,0.4,0.2,0,0,2.8
Happy TX,77,17.7,2.1,1.6,0,0,0,1.6
Buffalo Gap TX,62.3,24.4,6.2,0,6.7,0,0,0.4
Alto TX,34.5,28.9,28.5,0,6.7,0,1,0.5
Ranger TX,68.8,25.2,4.6,1,0.2,0,0,0.2
Forney TX,68.4,16.9,11.5,0.2,1.7,0,0,1.3
Oak Ridge TX,74.8,12.5,12.7,0,0,0,0,0
Rosser TX,59.7,15.8,13.7,0,0,0,0,10.8
China TX,73.8,3.6,22.5,0,0,0,0,0
Cut and Shoot TX,87.9,10,0.2,0.2,0.3,0,0,1.4
Alvarado TX,76.5,20.9,0.1,0,0,0,0,2.5
Burleson TX,80.7,12,3.6,0.4,1,0.2,0,2.1
Kerens TX,68.4,9.4,21.1,0,0,0,0,1.1
Snyder TX,50.4,43.6,4.3,0,0.3,0,0.3,1.1
Crowley TX,63.1,18.3,14.6,0.5,1.1,0,0,2.4
Joshua TX,79.9,14.4,1.1,1.7,0.3,0,0,2.6
Robert Lee TX,76.6,21.7,0,1.4,0,0,0,0.3
Bay City TX,33.8,48.7,15.3,0.1,0.5,0.1,0,1.5
Mildred TX,73.1,12.6,0,2.2,0.5,0,0,11.6
Clarksville TX,47.1,6.7,45.5,0,0,0,0,0.8
Detroit TX,65.3,6.1,21.3,2.3,0,0,0,5
Heath TX,84,7.7,0.9,0,4.4,0,0,3.1
Albany TX,85,11.8,0.1,0,0.3,0,0,2.8
Barstow TX,14.4,84.9,0,0,0.7,0,0,0
Nazareth TX,89.7,6.6,0,0,0.7,0,0,3
Milford TX,59,17.4,19.2,1,0,0,0,3.3
Balmorhea TX,18.8,81.2,0,0,0,0,0,0
Texhoma TX,83.6,16.1,0,0,0,0,0,0.3
Trinity TX,44.5,25.2,27.4,0.2,0.1,0,0,2.6
Burkburnett TX,81.4,9.7,4.5,0.9,1.1,0,0.7,1.6
Portland TX,58.7,38.3,0.9,0,1.3,0,0,0.7
Lincoln Park TX,85.5,13.1,0,1.4,0,0,0,0
Gladewater TX,65.7,7.5,24.7,0.2,0,0,0,1.9
Warren City TX,81.4,9,8,0.3,0,0,0,1.3
Diboll TX,37.6,44.4,16.5,0,0.2,0,0.1,1.2
Highland Village TX,84.8,7.2,1.8,0.5,3.7,0,0.2,1.8
Justin TX,86.8,7.9,1.1,1.2,0.7,0,0,2.3
Krum TX,70.3,22.8,0.4,1.1,0.6,0,0,4.8
Lake Dallas TX,69.2,23.5,3.2,0.2,1.6,0,0,2.5
Oak Point TX,78.2,14.8,2.5,0.3,3,0,0,1.3
Ponder TX,80.5,13.1,3.5,0.2,0.3,0,0,2.5
West Columbia TX,38.1,32.2,28.7,0,0,0,0,0.9
Tahoka TX,43.2,50.1,2.8,0.9,0,0,0,2.9
Wilson TX,33.1,65.7,0,0,0,0,0,1.2
Orange TX,57.3,6.9,29.6,0.2,3.5,0,0,2.4
Pinehurst TX,69.2,6.7,21.7,0,0,0,1.1,1.4
Mingus TX,78.3,7.1,2.7,0,0,0,0,12
Stratford TX,45.5,53.6,0.4,0,0,0,0,0.5
Groveton TX,68.5,14.9,16,0,0,0,0,0.6
Liberty Hill TX,81.5,16.2,1.5,0.4,0,0,0,0.4
Florence TX,62.6,37.4,0,0,0,0,0,0
Elmendorf TX,38.2,59.8,0.1,0,0.4,0,0,1.6
Helotes TX,57.9,31,2.7,0.2,5.1,0.3,0.8,2.1
Hollywood Park TX,83.7,14.2,0.2,0,0.2,0,0,1.7
Leon Valley TX,30.3,58.8,7.1,0,3.1,0,0,0.6
Olmos Park TX,75.1,17.3,6.8,0,0,0.4,0,0.5
Somerset TX,17.6,77,0.2,3.6,0,0,0,1.5
Henderson TX,54,20.1,23.1,0.2,1,0,0.2,1.3
New London TX,87.9,4.7,3.2,2.1,0,0,0,2.1
Murphy TX,51.2,6.7,11.5,0.3,27.4,0.1,0,2.8
East Mountain TX,78.3,11.3,1,1.5,0,0,0,7.9
Weston TX,85.9,6.7,6.3,0,1.1,0,0,0
Gilmer TX,55.8,13.4,27.7,0,0,0,1.7,1.4
Shamrock TX,65.7,21.8,7.2,0.2,0.2,0.7,0,4.3
Bowie TX,86.1,11.2,0,0,0,0,0,2.6
St. Jo TX,92.6,1.2,1.3,1,1.8,0,0,2
Appleby TX,77.3,15.7,2.6,0,3.1,0,0,1.4
Ovilla TX,74.9,5.8,19,0,0,0,0,0.3
Bovina TX,13,81.3,4.3,0,1.4,0,0,0
Seadrift TX,61.9,29.1,0.8,0,3.8,0,0,4.4
Lone Star TX,66.9,10.7,18,0.9,0.5,0,0,3
Omaha TX,77.8,3.7,17.6,0,0,0,0,0.9
Tulia TX,37.7,50.1,7.7,0.7,0,0.1,0,3.7
Impact TX,20,80,0,0,0,0,0,0
Dilley TX,15.9,72.5,9.9,0,0.7,0,0.6,0.4
Gallatin TX,96.8,3.2,0,0,0,0,0,0
Comanche TX,57.8,40.9,0.9,0,0.2,0,0,0.2
Kirvin TX,93.4,3.7,2.9,0,0,0,0,0
Teague TX,64.4,21.3,13.4,0,0,0,0,0.9
Charlotte TX,23.3,73.9,0.7,0,0,0,0,2
Hawk Cove TX,74.6,19.5,0.4,1.3,0,0,0,4.2
Seguin TX,36,54.2,7.6,0.1,1.7,0,0.1,0.4
Rosenberg TX,21.7,60.8,14.7,0.1,2.1,0,0,0.6
Old River-Winfree TX,87.8,3.5,7.8,0,0,0,0,0.8
Lumberton TX,93.1,5.5,0.4,0.3,0.1,0,0,0.5
Opdyke West TX,48.1,49.2,2.6,0,0,0,0,0
Sundown TX,46.9,51.9,1.2,0,0,0,0,0
Centerville TX,81.4,8.1,7,1.5,0,0,0.5,1.5
Leona TX,93.3,5.3,1.3,0,0,0,0,0
Hawkins TX,76.6,11.1,12.3,0,0,0,0,0
Yantis TX,77.6,19.6,0,0,2.2,0,0,0.6
Crane TX,31.7,64.9,3.3,0,0,0,0,0.1
Paradise TX,71.9,24.3,0,0.4,0.9,0,0,2.6
O'Donnell TX,31.8,66.7,0,0,1.5,0,0,0
Cross Roads TX,71.6,14.8,11.1,0,0.5,0,0.3,1.7
Livingston TX,45.6,21.9,23.8,0.5,3.2,0,0.8,4.1
Kaufman TX,56.6,35.3,6.4,0.2,0,0,0,1.5
Post Oak Bend City TX,100,0,0,0,0,0,0,0
Perryton TX,39.9,57.9,0.2,0.5,0.1,0,0,1.4
Muenster TX,87.4,11.6,0.5,0,0,0,0,0.5
Milano TX,80.3,3.6,14,0,0,0,0,2.1
Eagle Lake TX,17.1,59.2,22.5,0,0,0,0,1.2
Hallsburg TX,90,9.3,0,0,0,0,0,0.6
Leroy TX,96.1,1.6,2.3,0,0,0,0,0
Aspermont TX,61.3,31.4,5.4,0,0,0,0,1.8
Edom TX,91.8,7.6,0,0,0,0,0,0.7
Grand Saline TX,67,29.7,1.5,0.5,0,0,0,1.3
Los Ybanez TX,23.1,76.9,0,0,0,0,0,0
Westlake TX,81,3.7,0.8,1.2,11.2,0,0.8,1.3
Shiner TX,78.4,9.5,11,0,0.1,0,0.1,0.8
Ackerly TX,32.4,67.6,0,0,0,0,0,0
Trenton TX,64.7,22.5,8.4,0.4,3.5,0,0,0.5
Athens TX,53.2,27.6,15.8,0.5,2.7,0,0,0.3
Berryville TX,84.7,3.9,5.1,1.7,1.6,0,0,3.1
Enchanted Oaks TX,89.6,6.8,0.4,0,0,0,0,3.2
Log Cabin TX,89.4,6.5,1.3,0.4,0.2,0,0.9,1.3
Westbrook TX,83.1,15.4,0,0.5,0,0,0,1
Edgecliff Village TX,45.4,35.8,13.2,0,1.6,0,0,3.9
Levelland TX,40.3,52.5,5.2,0.7,0.3,0.1,0,0.9
Dalworthington Gardens TX,71.6,7.3,9.7,0.2,8.1,0,0,3.1
Euless TX,50.3,21.7,11.2,0.2,11.5,2,0.6,2.4
Fulshear TX,62.5,15.2,5.6,0,11.8,0,0.2,4.6
Orchard TX,62.4,37.1,0,0,0,0,0,0.6
Richmond TX,22.8,57.2,12.1,0,6.5,0.1,0,1.2
Simonton TX,76.6,11.4,9,0,2.9,0,0,0
Alba TX,88,11,0,0.5,0,0,0,0.6
Bedford TX,68.5,12.9,10.4,0.3,4.2,0.8,0.2,2.7
Mullin TX,87.9,12.1,0,0,0,0,0,0
Bremond TX,65.5,7.9,25.4,0,1.1,0.2,0,0
Goldsmith TX,91.6,3.4,0,0,0,0,0,5
Argyle TX,91.4,7,0.3,0.2,0.7,0,0,0.5
Northlake TX,81,10.4,4.9,0.8,1.1,0,0,1.7
Glen Rose TX,78.2,20.4,0.5,0,0,0,0.2,0.7
Zavalla TX,85.3,2.1,2.5,1.5,0,0,0,8.7
Los Indios TX,4.4,95.6,0,0,0,0,0,0
Tatum TX,66.9,23.9,7.8,0,0,0,0,1.4
Roma TX,0.2,99.8,0,0,0,0,0,0
Red Lick TX,92.4,0.8,3.1,0.9,0,0,0,2.8
Wake Village TX,66.7,4.9,25.9,1,0.8,0,0,0.8
Bunker Hill Village TX,71,11.1,0.6,0,16.7,0,0,0.6
Galena Park TX,9.2,85.4,5.3,0.1,0,0,0,0
Hilshire Village TX,72.2,11.8,0,0,12.5,0,0.2,3.2
Katy TX,63.5,26.5,5.9,0,2.7,0,0.3,1.2
Sansom Park TX,30.6,64.6,1.2,0.2,1.2,0,0,2.1
Trophy Club TX,82.4,8.7,2.3,0,3.1,0.5,0,3
Westover Hills TX,97.9,0.5,0.3,0,0.8,0,0,0.5
Hallettsville TX,68,16.9,13.8,0,0.5,0,0,0.7
Weir TX,58.6,38.3,0,0,0,0,0,3.1
China Grove TX,57.1,36.9,4.9,1,0,0,0,0.2
Converse TX,29.6,42.4,19.3,0.3,2,0.3,0.5,5.5
Amarillo TX,55.5,31.8,6.2,0.3,3.9,0.1,0.1,2.1
Whiteface TX,38.2,56.4,0,1.8,0,0,0,3.6
Petronilla TX,27.8,72.2,0,0,0,0,0,0
Bailey TX,90.7,3.5,1.8,0,0,0,0,4
Oak Valley TX,90.8,6.1,1.3,0,0,0.5,0,1.3
Richland TX,69.5,15,8.5,0,7,0,0,0
Rockwall TX,72.8,16.5,5.9,0.3,3,0,0,1.6
Bruceville-Eddy TX,60.6,17.6,21.5,0,0.2,0,0,0.2
San Antonio TX,25.1,64,6.5,0.1,2.7,0.1,0.1,1.4
Sweeny TX,73.5,11,15.5,0,0,0,0,0
Melvin TX,27.1,69.7,0,0,0,0,0,3.2
Covington TX,91.5,3.8,0,0,0,0,0,4.7
Bonham TX,68.4,15.7,12,0.2,1,0.1,0.2,2.4
Dodd City TX,84.6,3,0.8,0.8,0,0,0,10.7
Honey Grove TX,62.1,18.3,15.2,0.4,0.7,0,0,3.4
Sachse TX,54.4,16.6,12.4,0,13.5,0,0.1,3.1
DeSoto TX,13,16.1,68.4,0.1,0.5,0,0.2,1.9
Farmers Branch TX,39.5,46.2,4.8,0.1,6.5,0,0,2.8
Ferris TX,43.5,41.9,12.9,0,0.2,0,0.2,1.3
Castroville TX,60,35.5,1.1,0,1,0,0,2.4
Port Lavaca TX,29,58.3,4.1,0.1,8.1,0.1,0,0.3
San Perlita TX,0.6,99.4,0,0,0,0,0,0
Bryson TX,80.7,15.4,0.7,2.2,0.9,0,0,0
Jacksboro TX,63.3,26.2,8.9,0.2,0,0,0.3,1
Reno TX,90.1,3.7,0.9,0,1.4,0,0,3.9
Ralls TX,35.3,64.7,0,0,0,0,0,0
Alvord TX,87.3,10.7,0.5,0,0,0,0,1.4
Rhome TX,88,11.8,0,0,0.2,0,0,0
Cedar Hill TX,18.1,22,54.2,0,2.8,0,0,2.8
Garland TX,31.3,41.3,13.4,0.3,10.8,0,0.2,2.7
Grapevine TX,65.2,21.3,3.1,0.4,7.2,0,0.1,2.7
Richardson TX,53.5,16.7,10.3,0.2,15.8,0.1,0.3,3
Raymondville TX,7.5,91.1,1.3,0,0.2,0,0,0
Chester TX,95.2,4.1,0,0,0.3,0,0,0.3
Colmesneil TX,85.5,1.7,6.3,0,2.6,0,1.7,2.2
Floresville TX,37.9,59.3,1.3,0,0.7,0,0.5,0.3
Poth TX,37.1,61.6,0,0,0,0,0,1.3
Wixon Valley TX,75.9,16.4,6.8,0,0,0,0,0.9
Garrett TX,26.3,70.2,0.9,0,2.4,0,0,0.2
Walnut Springs TX,50.2,49.8,0,0,0,0,0,0
Tehuacana TX,80.4,5.3,14.4,0,0,0,0,0
Newcastle TX,81.2,18.8,0,0,0,0,0,0
Harlingen TX,16.8,80.5,0.9,0.1,1.2,0,0,0.3
Los Fresnos TX,8.2,91.4,0,0.3,0,0,0,0
Coleman TX,72.9,22.7,2.2,0.6,0,0,0,1.6
Eden TX,20.3,76.2,1.1,0.2,1.7,0,0,0.5
Premont TX,9,90.3,0.3,0.5,0,0,0,0
Wortham TX,61.4,13.2,23.2,0.1,0,0,0,2.1
Lakeview TX,21.3,53.8,23.8,1.3,0,0,0,0
Magnolia TX,58.7,8.3,13.5,0.4,0.3,0,0,18.8
Montgomery TX,70.5,14.4,9.9,0,0.4,0,0,4.7
Martindale TX,30.9,66.6,1.7,0,0,0,0,0.8
Hardin TX,82.9,4.5,0,4.8,7.4,0,0.5,0
Pottsboro TX,88,6,0,3.4,0,0,0,2.6
Fairview TX,79.5,4.2,7.8,0.1,6.6,0,0.7,1.1
Frisco TX,60.2,12.4,7.3,0.3,16.7,0.1,0.2,2.8
Holland TX,60.6,28.4,5.8,0,0,0,0,5.1
Hart TX,13.9,82.1,1.4,0.1,0.5,0,0.5,1.5
Bridge City TX,93.8,1.8,0.6,0.6,0.5,0,0,2.7
Thorntonville TX,45.7,42.1,11.5,0.7,0,0,0,0
Alma TX,63.7,34.1,0,0,0,0,0,2.3
Waxahachie TX,59,25.5,12.6,0.3,0.5,0.1,0.1,1.8
Pine Forest TX,87.4,11.8,0,0,0,0,0,0.9
Marfa TX,29.4,70.6,0,0,0.1,0,0,0
Wichita Falls TX,61.1,21.3,11.9,0.5,2.4,0,0.3,2.4
Wink TX,59.5,40,0.5,0,0,0,0,0
Ladonia TX,54.4,0,38.3,0.8,3.9,0,0,2.5
Moody TX,58,31.1,10,0.4,0.3,0,0,0.2
Kenedy TX,14.7,83.1,2.1,0,0.1,0,0,0
Woodcreek TX,94.9,3.3,0,0,0,0,0.3,1.6
Crockett TX,34.4,16.5,44.2,0,0.4,0,0.4,4.1
Mount Vernon TX,65.7,13.2,16.2,0.2,0.2,0.4,0,4.1
Abilene TX,58.8,26.8,9.8,0.5,2.1,0,0.2,1.9
Lueders TX,85.7,14.3,0,0,0,0,0,0
Driscoll TX,18.5,81.5,0,0,0,0,0,0
Rocksprings TX,32.5,67.5,0,0.1,0,0,0,0
San Diego TX,5.9,94,0.1,0,0,0,0,0
Beckville TX,52.9,22,23.9,0,0,1.2,0,0
Gary City TX,99.5,0.5,0,0,0,0,0,0
Sabinal TX,23.7,76.1,0,0,0,0,0,0.2
Beeville TX,26.2,69.6,2.5,0.8,0.5,0,0.2,0.2
Fulton TX,55.4,32.4,1.6,0.1,8,0,0,2.5
Marshall TX,40.7,20.4,36.5,0.1,1.5,0,0.1,0.7
Uncertain TX,69.6,0,30.4,0,0,0,0,0
Navasota TX,35.6,39.9,22,0,0,0,0,2.4
Cottonwood TX,99.6,0,0,0,0,0,0,0.4
Oak Grove TX,74.6,23.5,0.3,0.5,0,0,1,0
Port Neches TX,77.2,12.7,2.5,0,4.7,0.3,0,2.6
Onalaska TX,86.8,5.9,6.3,0,0.2,0,0,0.8
Hudson Oaks TX,86.2,11.8,1.1,0,0.2,0,0,0.7
Forest Hill TX,7.4,46.5,45,0,0.4,0,0,0.6
Hurst TX,63.9,24,6.5,0.6,2.4,0,0.5,2.1
Kennedale TX,64.4,20.6,7.2,0,6.2,0.2,0,1.4
Millsap TX,79.9,19.5,0,0,0,0,0,0.6
Riverside TX,69,2.3,27,1.7,0,0,0,0
El Cenizo TX,0.9,98.9,0.2,0,0,0,0,0
Rio Bravo TX,3,97,0,0,0,0,0,0
Hudson TX,66.4,20.4,9.6,0,0.7,0,0,2.9
Clyde TX,84.8,10.3,2.7,0,0.3,0,0,1.9
Flatonia TX,38.6,51.9,7.2,0,2,0,0,0.3
Double Oak TX,88,5.6,2.8,0.1,1.2,0,0,2.3
Lakewood Village TX,91.4,7.2,0,0,0.7,0,0,0.7
Broaddus TX,98.5,1.5,0,0,0,0,0,0
Sonora TX,40.7,57.9,0.1,0,0,1.2,0,0.3
La Joya TX,1.5,98.5,0,0,0,0,0,0
La Villa TX,1.6,98.4,0,0,0,0,0,0
Mercedes TX,5.7,94.1,0.1,0,0,0,0,0
Abbott TX,92,6.8,0,1.2,0,0,0,0
Arcola TX,17.8,63.7,17.8,0,0,0,0.3,0.3
Sugar Land TX,42.6,9.6,6.4,0.1,39,0,0.2,2
Thompsons TX,55.1,1.3,41.8,0,0.6,0,0,1.3
Anahuac TX,55.1,23.9,18.8,0.1,2,0,0,0
Rose Hill Acres TX,88.8,11.2,0,0,0,0,0,0
Smyer TX,65.4,30,3.4,1.2,0,0,0,0
Mineola TX,62,19.1,17.9,0,0,0,0,1
Campbell TX,86.9,5.2,1.2,0,6.6,0,0,0
Greenville TX,56.6,24.8,14.1,0.6,0.8,0.1,0,3
Quinlan TX,78.7,17.9,0.9,1.2,1.3,0,0,0.1
Wolfe City TX,77.8,5.1,16.2,0,0,0,0,0.9
Marion TX,49,42.7,7.9,0,0.2,0,0,0.2
Santa Clara TX,78.6,20,0,0.2,0.6,0,0,0.5
Edcouch TX,2.8,97.2,0,0,0,0,0,0
Granjeno TX,1.7,98.3,0,0,0,0,0,0
Lufkin TX,43.7,26.7,25.8,0,1.9,0,0.2,1.6
El Campo TX,33.9,57.1,8.5,0.2,0,0,0,0.3
Blanket TX,85.4,13.2,0,0,0,0,0,1.4
Brownwood TX,64.8,27.8,5.4,0,1.1,0,0,1
Port Arthur TX,21.3,31.4,38.9,0.4,6.5,0,0.2,1.3
Springtown TX,89.3,7.6,0.6,0.9,0,0,0.3,1.3
Columbus TX,54.2,31.7,14,0,0.1,0,0,0
Beverly Hills TX,30,60.4,8.5,0,0.1,0,0,1.1
Riesel TX,80.6,13.8,4.5,0.8,0,0,0,0.3
Dean TX,92,2.9,0,1.6,1.6,0,0,1.8
Petrolia TX,92.1,4.6,0,0.8,0,0,0,2.5
Goliad TX,36.2,54.3,9.6,0,0,0,0,0
Clear Lake Shores TX,91.5,5.6,0,0,0,0,0,2.9
Plains TX,28.5,71.3,0,0,0.2,0,0,0
Trent TX,76.9,11.4,11.7,0,0,0,0,0
Itasca TX,56.7,32.7,9.8,0.2,0,0,0,0.6
New Braunfels TX,60.8,34,2.2,0.1,1.4,0,0.3,1.3
Schertz TX,51.2,29.4,11.2,0.2,3.5,0,0.6,3.8
Hillsboro TX,40.9,39,16.9,0,0.8,0,0,2.4
Calvert TX,28.5,12.7,47.8,0,0,0,0.8,10.3
Van Horn TX,12.8,85,0.4,0,0.3,0,0,1.5
Sun Valley TX,10.5,80.3,0,0,0,0,0,9.2
Crosbyton TX,35.8,55.7,8.5,0,0,0,0,0
Carrollton TX,41,33.5,9,0.3,14.5,0.1,0,1.7
Caddo Mills TX,88.1,2,7.2,0,0,1.7,0,0.9
Bridgeport TX,52.1,42.8,4.1,0,0.4,0,0,0.7
Chico TX,86.1,12.1,0,0,0.3,0.4,0,1.1
Coppell TX,58.3,12.3,4.1,0.5,22.5,0,0.1,2.2
Dallas TX,29.1,41.7,24,0.1,3.3,0,0.2,1.6
Devine TX,33.1,66.8,0.1,0,0,0,0,0
Natalia TX,8.1,90.7,0.7,0,0,0,0,0.6
Dalhart TX,53.9,38.8,2,0.8,1.3,0,1,2.3
San Leanna TX,69.9,29.7,0,0,0,0,0,0.3
Jonestown TX,80.9,13.2,2.7,0.2,0.7,0,0,2.4
Manor TX,13.6,53.9,25.8,0,2.5,0,0.4,3.8
Round Rock TX,49.7,30.8,9.6,0.1,6.7,0,0.3,2.7
The Hills TX,86.4,7.5,0.7,0,2.7,0,0.7,1.9
Big Wells TX,3.3,96.7,0,0,0,0,0,0
Sanger TX,74.8,16.6,6.2,0,0.4,0,0,2
Avinger TX,76.2,5.3,17.9,0,0,0,0,0.6
Linden TX,73.9,5.6,18.9,0,1.3,0,0,0.5
Lefors TX,85.6,7.2,0.4,0,5.1,0,0,1.7
Meridian TX,69.6,24.7,3.1,0,2.1,0,0,0.4
Marlin TX,28.3,29.6,40.8,0,0.4,0.3,0,0.7
Graham TX,76.1,21.1,1.8,0.1,0.8,0,0,0
Pharr TX,5.1,94.3,0,0.2,0.3,0,0,0
McAllen TX,10.9,85.2,0.8,0.1,2.5,0.1,0.1,0.4
Weston Lakes TX,88,6,2.4,0.2,2.9,0,0,0.5
Spring Valley Village TX,81.8,8.5,0,0.3,7.1,0,0,2.4
Iola TX,81.5,18.5,0,0,0,0,0,0
Von Ormy TX,11.9,84.3,3.4,0,0,0,0,0.3
Canadian TX,52.7,44.8,0.2,0.2,0.4,0,0,1.7
Seven Points TX,79.2,18.8,0,0,1.1,0,0,0.9
Carmine TX,93.1,5.7,0,0,0,0,0,1.3
Buckholts TX,57.3,40.7,0,0,2,0,0,0
Hewitt TX,72.9,17.9,5.5,0.2,2.4,0,0,1
Robinson TX,79.3,14.8,3.6,0.1,0.4,0,0.8,1
Lipan TX,92,6.3,0,1.7,0,0,0,0
Tolar TX,88.3,9.5,0.5,0.9,0.9,0,0,0
Latexo TX,71.5,20.1,7.5,0,0,0,0,1
Big Spring TX,43,47,6.1,0.8,1,0.1,0,1.9
Cumby TX,91.5,8.5,0,0,0,0,0,0
Sulphur Springs TX,67,16.4,12.1,0.4,0.8,0.1,0,3.3
Agua Dulce TX,28.3,68.9,2.1,0.7,0,0,0,0
Bishop TX,22.6,76.7,0.3,0.3,0.2,0,0,0
Balch Springs TX,17.5,58.8,21.6,0.1,0.8,0,0,1.2
Cockrell Hill TX,6.5,92.3,0.7,0,0.3,0,0.1,0
Combine TX,68.5,27.5,1.4,0.2,0.7,0,0,1.6
Rowlett TX,54.5,20.7,16,0.2,6.6,0.1,0.1,1.7
LaCoste TX,36.4,59.6,1.1,0,0,0,0,2.8
Friona TX,15.5,82.5,0.9,0.4,0,0,0,0.8
Texline TX,60.2,32.3,0,1.5,2.5,0,0,3.5
Borger TX,64.7,27.9,2.9,1.1,0.6,0.5,0,2.2
Lorenzo TX,23.6,69.2,5.4,0,0,0,0,1.8
Round Mountain TX,83.7,16.3,0,0,0,0,0,0
Boyd TX,87.5,8.8,0.3,0.8,0,0,0.3,2.3
Addison TX,48.7,23,10.7,0.2,12,0,0.3,5.2
Hutchins TX,25.2,37.3,35.3,0.4,0,0,0,1.7
Irving TX,24.1,42.1,13,0.2,17.9,0.2,0.5,2
Lancaster TX,10.1,19,67.9,0.1,0.3,0.1,0,2.4
Seagoville TX,46,40.6,11.6,0.4,0.7,0,0,0.7
Menard TX,50,46.3,0.8,0.7,0,0,0,2.1
Point Comfort TX,48.1,42.1,4.7,0,0.9,0,0,4.3
Lyford TX,7.9,92.1,0,0,0,0,0,0
Missouri City TX,22.7,15.5,41.7,0.1,17.7,0.1,0.2,2.1
Nassau Bay TX,76.5,19.6,2.5,0,1.3,0,0,0
Piney Point Village TX,72.5,12,0.6,0.2,13.5,0,0,1.3
Shoreacres TX,76.3,20.5,1.1,0.4,0.5,0,0,1.1
Llano TX,65,26.3,0.6,0.3,0,0,0,7.8
Estelline TX,73,13.5,13.5,0,0,0,0,0
Patton Village TX,56.8,41.1,0.3,0,0,0,0,1.9
Malone TX,64.5,14.3,20.8,0,0,0,0,0.4
Penelope TX,61,33.6,0,0,5.5,0,0,0
Goldthwaite TX,78.2,21.8,0,0,0,0,0,0
McCamey TX,30,60.6,9,0,0,0,0.1,0.3
Plainview TX,29.9,62.9,4.9,0,0.3,0,0.1,1.9
Quanah TX,69.7,17.3,8.1,0.6,0.8,0,0,3.5
Everman TX,22.7,51.1,24.6,0.1,0.2,0,0,1.3
Nordheim TX,54.3,40.8,3.7,0,0,0,0,1.1
Colleyville TX,84.5,4.4,2.8,0,6.8,0,0.1,1.4
Haslet TX,82.4,10,0.7,0.4,5.4,0,0,1.1
Watauga TX,65.8,19.6,3.9,0.6,8.1,0.1,0.3,1.6
Moulton TX,66.9,29,0,0.7,3.4,0,0,0
Conroe TX,55.4,32.7,8.3,0.1,2.6,0,0,0.8
Panorama Village TX,85.6,11.9,1.5,0.3,0.2,0,0,0.5
Splendora TX,82.3,15.3,0.6,0.5,0.3,0,0,1
Christine TX,23,77,0,0,0,0,0,0
Bloomburg TX,76.3,0.8,19.4,0,3.5,0,0,0
Domino TX,1,0,93.3,0,0,0,1.9,3.8
McLean TX,81.9,13.8,0.7,1.2,0,0,0,2.4
Panhandle TX,88.9,7.4,1.5,0.9,0.6,0,0,0.8
Thorndale TX,73.4,20.9,4.3,0,0,0,0.3,1.1
Schulenburg TX,62.9,24,11.7,0,0.7,0,0,0.8
Rockdale TX,45.8,40.1,11.7,0,0.9,0,0,1.6
Bellmead TX,37.7,43.3,14,1.2,0.4,0,0,3.5
Crawford TX,74.2,7.1,16.9,0.3,0,0,0,1.5
Lacy-Lakeview TX,47.1,25.1,23.3,0.1,2.1,0,0,2.4
Lorena TX,83.9,13.2,0,0,0.4,0,0,2.5
McGregor TX,50.9,39.9,7.9,0,0,0,0,1.3
Runge TX,16.2,83.3,0.2,0,0,0,0,0.4
Mountain City TX,62.4,35.2,0.7,0,1.5,0,0,0.1
Granbury TX,83.2,11,1.3,0.3,3.3,0,0,0.9
Hooks TX,73.1,8,15.8,0.6,0.4,0,0,2.1
San Patricio TX,64.8,35.2,0,0,0,0,0,0
Bullard TX,85.1,9.8,2.7,1.2,0,0,0,1.1
Baytown TX,34.7,45.7,15.5,0.1,2.2,0,0.1,1.7
Bellaire TX,65.1,8,1.8,0.1,22.3,0,1.1,1.7
Hedwig Village TX,65.5,15.1,1.8,0,15.9,0,0,1.8
