city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Nectar AL,99.1,0,0,0.9,0,0,0,0
Snead AL,96.9,1.7,0,0,0.6,0,0.8,0
Vance AL,84.6,5.6,8.1,0,0,0,0.7,1.1
Pelham AL,73.6,13,10.6,0.3,1.6,0,0.1,0.7
Linden AL,58.1,0.5,41,0,0,0,0,0.4
Ethelsville AL,63.7,0,33.5,0,0,0,0,2.8
Pine Apple AL,56.2,0,42,1.8,0,0,0,0
Haleyville AL,87.9,9.9,1.2,0,0,0,0,1.1
County Line AL,99.7,0,0,0,0.3,0,0,0
Nauvoo AL,89.4,10,0,0,0,0,0,0.6
Northport AL,69,3,26.4,0.3,0.6,0,0,0.8
Hillsboro AL,18.5,0.7,80.9,0,0,0,0,0
Highland Lake AL,94.7,0,0.3,0,0.5,0,0,4.5
Elmore AL,54.7,22.2,20.7,0,0,0,0,2.3
Tallassee AL,68.8,2.8,24.4,0,3.3,0,0,0.7
Elkmont AL,84.8,2,11.2,1.3,0,0,0,0.7
Trussville AL,88.7,1.1,5.8,0,1.8,0,0.4,2.2
Elba AL,51.9,2.1,42.1,0.2,1.8,0,0,2
Columbia AL,82.7,0,12.8,0,0,0,2.5,2.1
Sipsey AL,50.2,4.5,45,0,0,0,0,0.2
Brighton AL,2.5,6.3,89.9,0,0,0,0.3,1
Mountain Brook AL,96.3,0.9,0.9,0.3,1.2,0.1,0,0.5
North Johns AL,64.1,0,35.4,0,0,0,0,0.5
Babbie AL,98.2,1.8,0,0,0,0,0,0
Shorter AL,29.6,0,70.4,0,0,0,0,0
Pine Hill AL,35.8,0,64.2,0,0,0,0,0
Tuskegee AL,1.3,2,95.4,0.1,0.4,0,0,0.8
Clayton AL,35.3,1.7,61.3,0.6,0.3,0,0,0.9
Heath AL,91.3,0.7,8,0,0,0,0,0
Opp AL,78.9,1.5,17.9,0.7,0.4,0,0,0.7
Hayneville AL,7.8,0,92.2,0,0,0,0,0
Piedmont AL,82.8,2.3,12.2,0.4,0.3,0,0,2
Huntsville AL,58.5,5.5,30.6,0.3,2.6,0.1,0.2,2.2
Owens Cross Roads AL,88.6,1.4,5.6,0.2,1.7,0,0,2.5
Abbeville AL,52.4,4.5,41.8,0,0,0,0,1.3
Eclectic AL,73,7.5,13.3,0,0,0,0,6.1
Castleberry AL,66.9,0,31.9,0,0,0,0,1.2
Brewton AL,52.3,0,43.2,0.3,2.2,0,0.4,1.5
Flomaton AL,48.8,2.4,45.4,3.2,0,0,0,0.2
Five Points AL,29.2,0,70.3,0,0,0,0.5,0
Oxford AL,74,8.8,13.7,0.3,1.6,0,0,1.6
Cowarts AL,78.1,4.4,9.1,0.1,1.8,0,0.8,5.8
Prichard AL,10.7,1,87.3,0.1,0.3,0,0,0.5
Satsuma AL,87.6,0.3,10.7,0,0,0,0.5,0.9
Maytown AL,87.2,0,12.5,0,0,0,0,0.3
Morris AL,96.6,0.4,2,0,0,0,0.3,0.6
Pleasant Grove AL,43.8,0.2,54.7,0.2,0.5,0,0,0.6
Glencoe AL,92.4,0.3,1.9,3,0,0,0.3,2.2
Hokes Bluff AL,99,0.4,0,0,0,0,0,0.6
Gordonville AL,1,0,92.1,0,0,0,0,6.9
Lockhart AL,66.3,5.3,28.4,0,0,0,0,0
Autaugaville AL,23.7,2.3,74,0,0,0,0,0
Arab AL,94.9,1.5,0.8,0.4,1.2,0,0,1.3
Pell City AL,82.7,1.1,14.3,0,1.6,0.1,0,0.2
Rogersville AL,86.3,3.2,6.1,0,1.8,0,0,2.6
Sheffield AL,71,2.3,22.9,0.5,0.1,0.2,0,2.9
Brilliant AL,98.3,0.7,0,0,0,0,0,1
Evergreen AL,36.9,3,56.8,0,0,0,0,3.3
Repton AL,53.2,0,45.9,0,0,0,0.9,0
East Brewton AL,65.8,5.7,27.5,0,0,0,0,1
Auburn AL,69,5,17.3,0.1,7.7,0,0.1,0.8
Opelika AL,50,2.4,43.1,0,2.3,0,0.3,1.8
Leighton AL,47.1,2,49.5,0,0,0,0,1.4
Midland City AL,61.6,2.2,30.9,0,0.2,0,0,5.1
Black AL,98.2,0,0,0,0,0,0,1.8
Geneva AL,80.3,1.2,13.9,0,2.1,0,0,2.5
Jacksons' Gap AL,81.7,0,15.8,1.5,0.4,0,0,0.6
Maplesville AL,83.8,0,15.8,0,0,0,0,0.4
Odenville AL,88.3,3.8,7,0,0.3,0,0,0.6
Brundidge AL,24.6,0.6,72.3,0.6,0,0,0,1.9
Roanoke AL,51.1,3.7,42.9,0,0,0,0,2.3
Florence AL,75.3,3.4,18.4,0.3,0.6,0.1,0.2,1.7
Hamilton AL,87.8,2.5,7.1,0.2,0,0,0,2.4
Banks AL,74.5,0,25.5,0,0,0,0,0
Wadley AL,62.9,0.9,31.9,0,0,0,0,4.3
Wilton AL,72.8,1.7,24.8,0,0,0,0,0.7
Faunsdale AL,64.7,0,14.7,0,0,0,0,20.6
Ariton AL,67.3,3.2,23.8,0,0,0,0,5.6
Clayhatchee AL,79.4,13.6,1.7,1.5,0.6,0.6,0,2.5
Level Plains AL,68.4,11.5,8,1.3,5.1,0.3,0,5.4
Newbern AL,22.8,1.8,75.4,0,0,0,0,0
Phil Campbell AL,84.8,12,1.8,0.4,0,0,0,1
Millbrook AL,67.9,3.3,26.5,0.3,0.5,0,0,1.6
Prattville AL,73.2,3.9,18.9,0.2,1.4,0,0.1,2.2
Wetumpka AL,59.8,1.1,35.7,0,0.3,0,1.8,1.2
Town Creek AL,67.8,3.5,22.8,2.2,0,0,0,3.7
Rockford AL,49.1,0.2,49.1,1.5,0,0,0,0
Douglas AL,92.6,7.4,0,0,0,0,0,0
Daleville AL,60.9,12.2,21.3,0.3,1.6,0,0,3.7
Napier Field AL,62.6,2.5,26,7.8,0,0,0,1.1
Fairview AL,74.5,20.5,0,0,1.9,0,0,3.1
Vredenburgh AL,24.9,0,75.1,0,0,0,0,0
Scottsboro AL,85.7,5.1,5.4,0.7,1.1,0.2,0.2,1.6
Eufaula AL,43.7,4.6,50.2,0,0.9,0,0,0.6
Warrior AL,74.6,0,22.7,0,0.5,0,0,2.2
Double Springs AL,82.3,0.4,5.3,1.5,0,0,0,10.5
Natural Bridge AL,100,0,0,0,0,0,0,0
North Courtland AL,4.3,0,95.3,0,0,0,0,0.4
Margaret AL,60.7,11.1,23.3,0,0.5,0,0,4.5
Killen AL,86.6,9,4.4,0,0,0,0,0
McIntosh AL,28.9,0.3,58.6,12.2,0,0,0,0
Muscle Shoals AL,82.7,1.5,13,1.1,0.9,0,0,0.9
Forkland AL,24.9,0.1,69.5,5.5,0,0,0,0
Albertville AL,66.5,29.1,2.9,0.1,0.6,0,0.2,0.5
Hartford AL,70.3,3.1,23.7,1.6,0,0,0,1.3
Gilbertown AL,61.1,0,37,0,0,0,0,1.9
Lisman AL,2.1,0,95.9,0,0,0,0,2.1
Coker AL,95.9,2.3,0.8,0.1,0,0,0,0.9
Jackson AL,50.6,0,49.4,0,0,0,0,0
Dodge City AL,97.2,1.4,0,0,0,0,0,1.4
Good Hope AL,72,24.6,0,1,2.4,0,0,0
Beaverton AL,94.9,3.1,0.8,0,0,0,0,1.2
Detroit AL,87.7,0,12.3,0,0,0,0,0
Kennedy AL,70.3,9.6,19.2,0,0,0,0,0.9
Hytop AL,96.7,1.1,0,0.7,1.1,0,0,0.4
Pisgah AL,94.1,2,0,0,0,0.3,0,3.7
Coffeeville AL,48.1,0,45.2,0,0,0,0,6.7
Blountsville AL,83.9,11,3.4,0,0.3,0,0,1.3
Locust Fork AL,96.7,0.6,1,1.4,0,0,0,0.3
Thomasville AL,47,0.2,49.7,0,2.5,0.5,0,0
Memphis AL,0,0,100,0,0,0,0,0
Colony AL,5,0,89,0,0,0,0,5.9
Hanceville AL,89,5,4.7,0,0,0,0,1.3
Holly Pond AL,96.8,0,0.5,2.5,0,0,0,0.1
Hollywood AL,72.3,2.4,19.3,0.4,0,0,0.4,5.3
Emelle AL,23.4,0,76.6,0,0,0,0,0
Woodville AL,88.3,3.5,2.5,1.6,0.5,0,0,3.6
Montevallo AL,67.4,7.7,23,0,0.5,0.2,0,1.3
Myrtlewood AL,89.4,0,10.6,0,0,0,0,0
Chatom AL,66.3,5.8,27.3,0,0,0,0,0.6
Millry AL,66.1,0,28.5,3.4,0.9,0,0,1.1
Millport AL,69.4,0,28.6,0,0,0,0,2
Sulligent AL,76.1,0,22.1,0,0,0,0,1.8
Anderson AL,98.3,0,0,0.8,0,0,0,0.8
Hackleburg AL,97.9,1.1,0,0.7,0.3,0,0,0
Carrollton AL,40.4,7.1,48.4,0,0,0,0,4
Boaz AL,84.2,11.9,2.1,0,0.4,0,0,1.4
Gulf Shores AL,94.3,3.3,0.3,0.2,1,0,0,0.9
Summerdale AL,83.1,3.2,10.3,0.4,0.7,0,0.3,2
Hammondville AL,95.3,0,1.5,0,0,0,0,3.3
